number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
559,197.5636749,12:57.4,13:37.2,0 days 00:00:39.779674,4,96,32,16,3,5,,,,,,,,,,,9,3,10,10,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,8,,,0.005168245,COMPLETE
560,,13:37.2,14:20.8,0 days 00:00:43.588708,4,64,96,32,3,5,8,2,10,4,2,2,10,10,,,9,7,7,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,mixed,mixed,,,8,5,,,2,10,8,,,0.006479209,FAIL
561,328.5114441,14:20.8,15:00.2,0 days 00:00:39.413023,4,64,96,32,3,5,,,,,,,,,,,9,7,7,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,normal,mixed,,,,5,,,2,10,8,,,0.006593318,COMPLETE
562,,15:00.2,15:44.2,0 days 00:00:44.058111,4,8,32,128,3,5,8,2,10,4,2,2,10,10,,,9,3,7,8,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.004215855,FAIL
563,,15:44.2,16:28.1,0 days 00:00:43.849937,4,8,32,128,3,5,8,2,10,4,2,2,10,10,,,9,3,7,8,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.003308415,FAIL
564,,16:28.1,17:12.3,0 days 00:00:44.163001,4,8,32,128,3,5,8,6,10,4,3,2,10,10,,,9,3,7,8,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.004342004,FAIL
565,,17:12.3,17:56.0,0 days 00:00:43.790867,4,8,32,128,3,5,8,2,10,4,2,2,10,10,,,4,3,7,8,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.004237301,FAIL
566,,17:56.1,18:40.8,0 days 00:00:44.779820,4,8,32,128,3,5,8,2,10,4,2,2,10,10,10,,9,3,7,8,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,9,7,,,2,10,8,,,0.004321833,FAIL
567,,18:40.8,19:24.3,0 days 00:00:43.483416,4,8,32,128,3,5,8,2,10,4,2,2,10,10,,,3,3,7,8,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.004401051,FAIL
568,257.2905884,19:24.3,20:04.1,0 days 00:00:39.736456,4,8,32,128,3,5,,,,,,,,,,,9,3,7,8,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,8,,,0.004454965,COMPLETE
569,,20:04.1,20:47.8,0 days 00:00:43.718201,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,10,2,5,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,7,,,0.003346694,FAIL
570,,20:47.8,21:31.4,0 days 00:00:43.597547,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,10,2,5,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,7,,,0.003263349,FAIL
571,,21:31.4,22:15.8,0 days 00:00:44.444881,4,96,32,32,3,5,8,2,10,4,2,10,10,10,,,10,2,8,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,7,,,0.003290822,FAIL
572,,22:15.8,22:59.4,0 days 00:00:43.576770,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,10,2,5,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,7,,,0.003295614,FAIL
573,130.1845093,22:59.4,23:38.7,0 days 00:00:39.234833,4,96,32,32,3,5,,,,,,,,,,,4,2,8,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,6,,,2,10,7,,,0.003372159,COMPLETE
574,,23:38.7,24:21.9,0 days 00:00:43.251769,4,96,32,16,3,5,8,2,10,4,2,2,10,10,,,6,2,8,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,7,,,0.003462268,FAIL
575,,24:21.9,25:03.9,0 days 00:00:42.003152,4,96,32,16,3,5,8,2,10,4,2,2,10,10,,,4,2,8,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,7,,,0.003324179,FAIL
576,,25:03.9,25:46.1,0 days 00:00:42.173058,4,96,32,16,3,5,8,2,10,4,2,2,10,10,,,10,2,8,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,7,,,0.003268622,FAIL
577,,25:46.1,26:29.1,0 days 00:00:43.047981,4,96,32,16,3,5,8,6,10,4,3,10,10,10,,,3,2,8,10,4,9,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,7,,,0.003243289,FAIL
578,253.3296356,26:29.1,27:07.1,0 days 00:00:37.932263,4,96,32,16,3,5,,,,,,,,,,,5,2,8,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,6,,,2,10,7,,,0.003279659,COMPLETE
579,169.5809021,27:07.1,27:44.9,0 days 00:00:37.817008,4,96,96,64,3,5,,,,,,,,,,,6,2,8,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,6,,,2,10,7,,,0.002789676,COMPLETE
580,,27:44.9,28:26.7,0 days 00:00:41.750429,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,4,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,mixed,mixed,,,8,6,,,2,9,6,,,0.00353578,FAIL
581,,28:26.7,29:07.5,0 days 00:00:40.871108,4,96,32,32,3,5,8,2,10,4,2,2,2,9,,,4,2,8,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,5,,,2,9,7,,,0.00364925,FAIL
582,,29:07.5,29:49.8,0 days 00:00:42.284093,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,10,2,10,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,mixed,mixed,,,8,6,,,2,9,7,,,0.003603173,FAIL
583,,29:49.8,30:32.1,0 days 00:00:42.235258,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,10,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,9,7,,,0.003556205,FAIL
584,,30:32.1,31:15.5,0 days 00:00:43.478773,4,96,32,32,3,5,8,2,10,4,2,10,10,9,,,10,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,9,6,,,0.003528414,FAIL
585,,31:15.5,31:57.8,0 days 00:00:42.251155,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,5,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,9,6,,,0.003699555,FAIL
586,,31:57.8,32:40.1,0 days 00:00:42.260144,4,96,32,32,3,5,8,2,10,4,2,10,10,10,,,3,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,mixed,mixed,,,8,6,,,2,9,6,,,0.003602375,FAIL
587,,32:40.1,33:21.8,0 days 00:00:41.739878,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,4,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,mixed,mixed,,,8,6,,,2,9,7,,,0.003532695,FAIL
588,,33:21.8,34:04.4,0 days 00:00:42.643562,4,96,32,32,3,5,8,6,10,4,2,2,10,10,,,10,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,9,6,,,0.003586266,FAIL
589,,34:04.5,34:46.0,0 days 00:00:41.590090,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,3,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,9,6,,,0.00365812,FAIL
590,,34:46.0,35:29.9,0 days 00:00:43.843625,4,96,32,32,3,5,9,6,10,4,2,2,10,10,10,,10,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,mixed,mixed,,,9,6,,,2,9,6,,,0.003772429,FAIL
591,,35:29.9,36:11.3,0 days 00:00:41.378253,4,96,32,32,3,5,8,2,10,4,2,2,3,10,,,3,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,mixed,mixed,,,8,6,,,2,9,7,,,0.003617505,FAIL
592,,36:11.3,36:53.7,0 days 00:00:42.448748,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,4,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,mixed,mixed,,,8,6,,,2,9,7,,,0.003410528,FAIL
593,188.9245148,36:53.7,37:32.2,0 days 00:00:38.444997,4,96,32,32,3,5,,,,,,,,,,,5,2,8,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,6,,,2,10,7,,,0.003665031,COMPLETE
594,,37:32.2,38:14.5,0 days 00:00:42.346525,4,96,128,32,3,5,8,2,10,4,2,2,3,10,,,4,2,8,9,6,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,9,6,,,0.003177393,FAIL
595,544.8598022,38:14.5,38:53.0,0 days 00:00:38.513171,4,96,32,32,3,5,,,,,,,,,,,10,2,8,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,5,,,2,9,7,,,0.003250548,COMPLETE
596,138.1737823,38:53.0,39:32.0,0 days 00:00:38.993962,4,96,128,16,3,5,,,,,,,,,,,8,6,9,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,6,,,2,10,7,,,0.003855324,COMPLETE
597,,39:32.0,40:16.4,0 days 00:00:44.329951,4,96,96,128,3,5,8,2,10,4,2,2,10,9,,,3,2,10,9,7,5,8,10,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,8,,,2,10,9,,,0.00297994,FAIL
598,,40:16.4,41:00.1,0 days 00:00:43.752192,4,96,96,128,3,5,8,2,10,4,2,2,10,10,,,4,2,10,9,7,6,3,7,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,8,,,2,10,6,,,0.002449759,FAIL
599,,41:00.1,41:44.2,0 days 00:00:44.114703,4,96,96,128,3,5,8,2,10,4,2,2,10,10,,,4,2,10,9,7,9,8,10,,,,,,,,,,,,,,,,,,,,,,,3,4,mixed,mixed,,,8,8,,,2,10,6,,,0.003488013,FAIL
600,,41:44.2,42:26.8,0 days 00:00:42.581684,4,96,96,128,3,5,8,2,10,4,2,2,3,10,,,3,2,5,9,7,6,3,6,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,8,,,2,10,9,,,0.002908448,FAIL
601,149.7149658,42:26.8,43:07.5,0 days 00:00:40.645637,4,96,96,128,3,5,,,,,,,,,,,10,2,5,9,7,6,8,10,,,,,,,,,,,,,,,,,,,,,,,3,4,normal,mixed,,,,8,,,2,10,9,,,0.002535631,COMPLETE
602,,43:07.5,43:51.2,0 days 00:00:43.752910,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,4,6,10,10,6,9,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,6,,,0.003509452,FAIL
603,156.6878815,43:51.2,44:29.5,0 days 00:00:38.293498,4,96,16,32,3,5,,,,,,,,,,,2,6,10,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,6,,,2,10,8,,,0.003483093,COMPLETE
604,,44:29.5,45:12.5,0 days 00:00:42.946176,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,8,6,6,10,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,6,,,0.002954885,FAIL
605,227.6536102,45:12.5,45:50.8,0 days 00:00:38.297475,4,96,64,8,3,5,,,,,,,,,,,8,6,6,3,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,6,,,0.002865522,COMPLETE
606,,45:50.8,46:33.1,0 days 00:00:42.327762,4,32,32,32,3,5,8,2,10,4,3,2,10,10,,,3,5,8,9,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,9,,,0.004133502,FAIL
607,,46:33.1,47:15.9,0 days 00:00:42.769956,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,5,8,9,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,9,,,0.004243652,FAIL
608,131.9724731,47:15.9,47:54.5,0 days 00:00:38.646185,4,8,32,32,3,5,,,,,,,,,,,9,5,8,9,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,9,,,0.004160356,COMPLETE
609,,47:54.5,48:37.9,0 days 00:00:43.326599,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,5,8,9,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,4,5,mixed,mixed,,,8,7,,,2,10,8,,,0.00430685,FAIL
610,,48:37.9,49:20.7,0 days 00:00:42.776294,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,5,8,9,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.004239185,FAIL
611,,49:20.7,50:03.4,0 days 00:00:42.774414,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,5,8,9,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.004183902,FAIL
612,,50:03.4,50:46.3,0 days 00:00:42.910920,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,3,5,8,9,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,4,5,mixed,mixed,,,8,7,,,2,10,8,,,0.004222404,FAIL
613,,50:46.3,51:29.7,0 days 00:00:43.330061,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,5,8,9,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.004221028,FAIL
614,139.4022369,51:29.7,52:09.4,0 days 00:00:39.733835,4,8,32,32,3,5,,,,,,,,,,,9,5,8,9,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,8,,,0.004145254,COMPLETE
615,224.4200134,52:09.4,52:49.6,0 days 00:00:40.146379,4,8,32,32,3,5,,,,,,,,,,,9,5,8,9,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,7,,,0.001351793,COMPLETE
616,,52:49.6,53:33.3,0 days 00:00:43.747614,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,5,8,9,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,4,5,mixed,mixed,,,8,7,,,2,10,8,,,0.004656915,FAIL
617,143.0186615,53:33.3,54:13.5,0 days 00:00:40.227218,4,8,32,32,3,5,,,,,,,,,,,3,5,8,9,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,4,5,normal,mixed,,,,7,,,2,10,8,,,0.004694038,COMPLETE
618,,54:13.6,54:57.5,0 days 00:00:43.930339,4,8,32,32,3,5,8,2,10,4,2,10,10,10,,,4,5,8,10,6,9,3,7,9,2,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,10,,,2,10,9,,,0.003055299,FAIL
619,,54:57.5,55:40.7,0 days 00:00:43.164251,4,8,32,32,3,5,8,2,10,4,2,2,3,10,,,9,5,8,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,9,,,0.004260042,FAIL
620,,55:40.7,56:24.0,0 days 00:00:43.335019,4,8,32,32,3,5,9,2,10,4,2,2,10,10,,,4,5,8,10,6,9,3,7,9,2,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,10,,,2,10,9,,,0.004183134,FAIL
621,,56:24.0,57:08.1,0 days 00:00:44.088143,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,4,5,8,10,6,5,3,7,9,2,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,10,,,2,10,9,,,0.004202378,FAIL
622,,57:08.1,57:51.9,0 days 00:00:43.827259,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,4,5,8,10,6,5,3,7,9,2,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,10,,,2,10,9,,,0.004142819,FAIL
623,,57:51.9,58:35.3,0 days 00:00:43.343568,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,5,8,10,6,5,3,7,9,2,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,10,,,2,10,9,,,0.003124501,FAIL
624,197.6872406,58:35.3,59:14.9,0 days 00:00:39.584328,4,8,32,32,3,5,,,,,,,,,,,9,5,8,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,6,,,2,10,9,,,0.004277212,COMPLETE
625,,59:14.9,59:59.7,0 days 00:00:44.875816,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,2,7,10,4,5,3,7,9,2,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,10,,,2,9,8,,,0.003122185,FAIL
626,,59:59.7,00:43.3,0 days 00:00:43.545268,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,2,7,10,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,9,8,,,0.003059476,FAIL
627,172.7381134,00:43.3,01:22.1,0 days 00:00:38.773665,4,8,32,32,3,5,,,,,,,,,,,9,2,7,10,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,6,,,0.003461876,COMPLETE
628,,01:22.1,02:05.7,0 days 00:00:43.659968,4,32,32,16,3,5,2,2,10,4,2,2,10,10,,,9,5,7,10,7,5,5,7,9,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,9,,,2,9,8,,,0.002938455,FAIL
629,,02:05.7,02:48.5,0 days 00:00:42.763627,4,32,32,16,3,5,8,2,10,4,2,2,10,10,,,9,5,7,10,7,5,5,6,9,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,9,,,2,9,8,,,0.003207359,FAIL
630,,02:48.5,03:31.6,0 days 00:00:43.075936,4,8,32,16,3,5,8,2,10,5,2,2,10,10,,,9,5,7,10,7,5,10,7,9,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,9,,,2,10,8,,,0.003069911,FAIL
631,,03:31.6,04:15.1,0 days 00:00:43.543508,4,32,32,16,3,5,8,2,10,4,2,2,10,10,,,4,5,7,10,7,5,5,7,9,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,9,,,2,9,8,,,0.003883243,FAIL
632,,04:15.1,04:59.5,0 days 00:00:44.381261,4,8,32,16,3,5,8,2,10,4,2,2,10,10,,,4,5,7,10,7,5,4,7,9,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,9,,,2,9,8,,,0.003012658,FAIL
633,,04:59.5,05:43.5,0 days 00:00:44.017972,4,32,32,16,3,5,9,2,9,4,2,2,10,10,,,4,5,7,10,7,5,5,7,9,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,9,,,2,9,8,,,0.003997775,FAIL
634,,05:43.5,06:26.6,0 days 00:00:43.056761,4,32,32,16,3,5,8,2,10,4,2,2,10,10,,,9,5,7,10,7,5,10,6,9,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,9,,,2,9,8,,,0.003059422,FAIL
635,,06:26.6,07:09.9,0 days 00:00:43.294049,4,16,32,16,3,5,8,2,10,4,3,2,10,10,,,9,5,7,10,9,5,5,7,9,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,9,,,2,10,8,,,0.003030179,FAIL
636,,07:09.9,07:53.6,0 days 00:00:43.678102,4,32,32,16,3,5,8,2,10,4,2,2,10,10,,,4,5,7,10,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,9,8,,,0.003086071,FAIL
637,185.1416779,07:53.6,08:35.0,0 days 00:00:41.416412,4,32,32,16,3,5,,,,,,,,,,,9,5,7,10,7,5,5,7,9,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,9,,,2,9,8,,,0.003913088,COMPLETE
638,185.9004211,08:35.0,09:15.0,0 days 00:00:39.995744,4,16,32,32,3,5,,,,,,,,,,,4,2,8,9,5,9,6,5,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,8,,,2,10,8,,,0.003156515,COMPLETE
639,,09:15.0,09:58.8,0 days 00:00:43.768325,4,8,32,128,3,5,8,2,10,4,2,2,10,10,,,7,4,7,9,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,10,,,0.004870767,FAIL
640,,09:58.8,10:42.8,0 days 00:00:44.084705,4,8,32,128,3,5,8,2,10,4,2,2,10,10,,,9,4,7,9,6,5,10,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,10,,,0.004772066,FAIL
641,145.4353333,10:42.8,11:22.3,0 days 00:00:39.420219,4,8,32,128,3,5,,,,,,,,,,,4,4,7,9,6,5,10,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,10,,,0.004682122,COMPLETE
642,,11:22.3,12:05.6,0 days 00:00:43.302653,4,8,32,96,3,5,8,2,10,4,2,2,10,10,,,9,2,5,10,5,4,8,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.003019969,FAIL
643,,12:05.6,12:48.9,0 days 00:00:43.322690,4,8,32,96,3,5,8,2,10,4,2,2,10,10,,,9,2,5,10,5,4,8,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.002425266,FAIL
644,,12:48.9,13:31.9,0 days 00:00:42.950223,4,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,2,7,10,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.003067952,FAIL
645,,13:31.9,14:14.7,0 days 00:00:42.855493,4,8,32,32,3,5,8,2,10,4,2,2,10,9,,,9,2,5,10,5,4,8,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.002965802,FAIL
646,,14:14.7,14:57.8,0 days 00:00:43.080184,4,8,32,32,3,5,8,6,10,4,2,2,10,10,,,9,2,7,10,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.004238095,FAIL
647,,14:57.8,15:40.7,0 days 00:00:42.880585,3,8,32,32,3,5,8,2,10,4,2,2,10,10,,,9,2,5,10,5,4,8,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.004214866,FAIL
648,,15:40.7,16:24.5,0 days 00:00:43.850203,4,8,32,96,3,5,8,2,10,4,2,10,10,10,,,9,2,5,10,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,7,,,2,10,8,,,0.000841399,FAIL
649,283.5422974,16:24.5,17:03.5,0 days 00:00:38.949340,4,8,32,32,3,5,,,,,,,,,,,9,2,7,10,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,8,,,0.002949049,COMPLETE
650,,17:03.5,17:46.1,0 days 00:00:42.620427,4,8,32,96,3,5,8,2,10,4,2,2,10,10,,,3,7,7,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,5,,,2,10,9,,,0.004143198,FAIL
651,,17:46.1,18:29.0,0 days 00:00:42.905334,4,8,32,96,3,5,8,2,10,4,2,2,10,10,,,9,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,5,,,2,10,9,,,0.004365553,FAIL
652,,18:29.0,19:11.6,0 days 00:00:42.547058,4,8,32,96,3,5,8,2,10,4,2,2,10,10,,,3,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,5,,,2,10,9,,,0.004263318,FAIL
653,164.2380981,19:11.6,19:50.7,0 days 00:00:39.116438,4,8,32,16,3,5,,,,,,,,,,,9,7,5,6,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,mixed,,,,7,,,2,10,9,,,0.004262818,COMPLETE
654,,19:50.7,20:34.0,0 days 00:00:43.278425,4,96,32,32,3,5,8,2,10,4,2,2,10,10,,,9,5,7,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,8,,,0.005408897,FAIL
655,,20:34.0,21:17.6,0 days 00:00:43.589756,4,96,32,32,3,5,8,2,10,4,3,2,3,10,10,,9,5,7,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,9,6,,,2,10,8,,,0.00238956,FAIL
656,,21:17.6,21:59.9,0 days 00:00:42.324571,3,96,32,32,3,5,8,2,10,4,2,2,10,,,,9,5,7,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,7,6,,,2,10,8,,,0.005579849,FAIL
657,,21:59.9,22:42.3,0 days 00:00:42.427565,3,96,32,32,3,5,8,2,10,4,2,2,10,10,,,3,5,7,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,mixed,,,8,6,,,2,10,8,,,0.005468598,FAIL
