number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
18,332.5558472,11:29.6,12:05.8,0 days 00:00:36.204382,3,64,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,normal,normal,normal,,,,,,3,10,3,10,,0.002559479,COMPLETE
19,4978.783203,12:05.8,12:40.4,0 days 00:00:34.601280,1,32,8,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,normal,normal,normal,,,,,,3,8,4,1,,0.000171452,COMPLETE
20,,12:40.4,13:20.8,0 days 00:00:40.423334,4,96,128,8,3,2,9,9,10,10,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,mixed,normal,,,7,,,,2,1,5,,,0.000863907,FAIL
21,,13:20.8,14:03.0,0 days 00:00:42.178395,1,8,96,,2,2,,,,,,,,,,,,,,,,,,,,,2,4,6,6,3,10,4,9,,,10,9,9,2,9,,,,,,3,5,normal,normal,mixed,mixed,,,8,5,4,10,1,9,9,0.006478991,FAIL
22,1014.924011,14:03.0,14:38.9,0 days 00:00:35.971141,2,32,,,1,2,,,,,,,,,,,10,3,5,8,3,6,8,,,,,,,,,,,,,,,,,,,,,,,,5,3,normal,mixed,,,,7,,,2,3,4,,,0.000443559,COMPLETE
23,,14:38.9,15:21.2,0 days 00:00:42.278966,1,32,,,1,2,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,8,6,10,6,4,4,7,4,6,6,mixed,normal,normal,mixed,3,,,10,4,8,6,2,10,0.002972055,FAIL
24,1097.376465,15:21.2,15:55.4,0 days 00:00:34.136558,3,16,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,normal,,,,,,,,1,5,,,,0.000578366,COMPLETE
25,325.2989502,15:55.4,16:32.4,0 days 00:00:37.019571,2,128,,,1,3,,,,,,,,,,,4,10,6,8,6,2,6,7,3,9,,,,,,,,,,,,,,,,,,,,,6,3,normal,mixed,,,,10,,,2,2,8,,,0.003879889,COMPLETE
26,2556.484131,16:32.4,17:06.1,0 days 00:00:33.686329,4,8,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,normal,,,,,,,,1,7,,,,0.000107138,COMPLETE
27,,17:06.1,17:48.0,0 days 00:00:41.905860,2,64,,,1,4,10,5,3,10,10,3,,,,,3,2,4,8,3,7,9,5,,,3,7,3,4,2,10,,,,,,,,,,,,,,,5,3,mixed,mixed,mixed,normal,6,8,6,,4,3,7,3,2,0.000542806,FAIL
